inpNum,repNum,Vf_IQR,Vf_Mdn,nFC,nMRC,FCp,MRCp,av_FCa,av_MRCa,max_FC,max_MRC,Stiffness,Strength,UM
823,48,0.221689374183845,0.653855851478579,0.032258064516129,0.043010752688172,0.190450055606711,0.390433692697118,196.390437264655,301.95886549116,314.819846287333,547.013907782015,14132.5586303946,61.0526532833045,50
824,48,0.267935266430308,0.623451743512904,0.0126582278481013,0.0506329113924051,0.131034023635949,0.458160120661283,366.317211790353,320.206793047239,366.317211790353,786.341635772575,13688.9555796186,49.2802400866269,50
825,41,0.170542476304978,0.685912934443248,0.0204081632653061,0.0408163265306122,0.345047097849851,0.250975129525444,435.499062495538,158.383354474103,689.296058949271,389.361848324957,16279.4653438382,56.652539396557,50
826,43,0.168788731289734,0.702276263518268,0.0208333333333333,0.0520833333333333,0.391391299371313,0.195729102995216,509.771106992685,101.971650023725,762.748670340954,319.722526182112,17468.0340278847,62.7575420249116,50
827,15,0.286580604117836,0.520289365980325,0.0123456790123457,0.0123456790123457,0.0282824993444257,0.571883283142895,95.1350960905688,1923.66913658613,95.1350960905688,1923.66913658613,11832.1247588034,55.3743438711998,50
829,45,0.275480107814959,0.577008686916471,0.012987012987013,0.038961038961039,0.016814249002958,0.562820359610162,50.3902664140812,562.234801745348,50.3902664140812,1489.14025114941,12617.3860531943,46.9366761178827,50
831,50,0.238420824592131,0.548994726057096,0.0,0.0547945205479452,0.0,0.470362802981469,0.0,323.998848782148,0.0,758.442968131485,13464.911670874,51.7052608161559,50
832,15,0.227551329144682,0.677834039150841,0.0210526315789474,0.0526315789473684,0.321373557395668,0.396091234139962,516.780439179873,254.771678905909,868.398247981838,417.456632858955,15001.1748619311,54.004229502952,50
834,34,0.209649210349983,0.625154680835689,0.0294117647058824,0.0196078431372549,0.118185991285797,0.447032967403488,122.027614203344,692.345588792016,154.371009114476,1237.57328435642,14698.7940871769,59.9710798756818,50
836,21,0.235927650080409,0.635569859182218,0.012987012987013,0.038961038961039,0.0792460693136589,0.471053587353961,211.159757894461,418.391146810001,211.159757894461,1158.08406196865,14009.5430664681,57.15893571119,50
837,34,0.317030545499143,0.527064163667714,0.0,0.0126582278481013,0.0,0.56898796602338,0.0,1831.16485725388,0.0,1831.16485725388,11736.7561225827,53.4977415188984,50
838,46,0.202022618546162,0.662532648956217,0.0315789473684211,0.0315789473684211,0.186458289328026,0.333052344139004,165.843393428293,296.229956524428,348.623544103355,663.873088249531,15603.939280645,56.1741814103218,50
839,44,0.184748907436604,0.714651413798946,0.032258064516129,0.032258064516129,0.352535240450593,0.310300926938841,305.00966344494,268.468993826826,761.647431819864,405.883931942775,16677.1534667602,56.0352356483142,50
840,43,0.220061361495686,0.66022555427026,0.0128205128205128,0.0384615384615385,0.147637830947743,0.369706958477723,367.941885821256,307.126962040154,367.941885821256,458.194045564889,14991.0163834072,53.9676589802658,50
841,13,0.207459245292594,0.636844334887768,0.0105263157894737,0.0210526315789474,0.123083397777302,0.354950639524264,372.399520666954,536.967009386707,372.399520666954,882.093711766277,15070.0170437358,52.4436593122006,50
842,19,0.271269635519035,0.628216609810335,0.051948051948052,0.038961038961039,0.160101982576319,0.501310193998431,111.820312036429,466.841292180549,216.175623736814,752.337308866882,13196.5616897034,60.1480870358377,50
843,47,0.204878518825219,0.627126639183678,0.0408163265306122,0.0510204081632653,0.0870276091447064,0.384912252014263,65.2844825791582,230.996093842785,96.6320280683942,539.869664570411,14789.8089242319,56.7928662690503,50
844,29,0.317052711972657,0.572163998128759,0.0273972602739726,0.0410958904109589,0.105968697527679,0.592770318178942,162.159028303206,604.726119099284,249.03875426855,888.078984269709,12401.7616124496,55.0638215592762,50
845,7,0.228490227507998,0.655335491571872,0.0202020202020202,0.0404040404040404,0.105089997544275,0.374043563546559,156.164903180482,277.916444245426,229.372932243607,980.401060523434,15049.0994574408,50.564974177001,50
846,23,0.188946286312545,0.68976756654437,0.0315789473684211,0.0315789473684211,0.270769801540313,0.26467537932896,228.415517282273,223.274395214657,599.468041083626,537.721839966178,16789.8436127247,58.4286557722821,50
847,22,0.207468975799372,0.681685243649247,0.0204081632653061,0.0204081632653061,0.211112704147479,0.225590213984632,292.231840069532,312.272269926281,529.731312119528,363.82528936279,16307.6428734619,52.8367629100166,50
849,39,0.250198965532697,0.603665580967893,0.0208333333333333,0.0104166666666667,0.0321719601609907,0.467772207538633,52.0310372583963,1513.03638554148,61.2327707730939,1513.03638554148,13263.4192591807,54.1147505774572,50
851,33,0.265906543699555,0.570678515800203,0.0,0.012987012987013,0.0,0.583144543958028,0.0,1712.94804815133,0.0,1712.94804815133,12807.2997184373,53.7906588174364,50
852,38,0.258729795919032,0.558851908968276,0.0133333333333333,0.0266666666666667,0.0269106113510503,0.568545833655415,79.4120097534837,838.876655356703,79.4120097534837,1402.95758150152,12328.850484564,65.0963305584979,50
853,37,0.128077996377078,0.715568723665464,0.03,0.02,0.423520514344769,0.0457504111423181,349.357825500754,56.6085830948716,911.306062053365,91.7004084575962,18626.0120630539,64.7679288778361,50
854,26,0.276269985558588,0.554213160320916,0.0169491525423729,0.0338983050847458,0.0297074614742555,0.572273684377698,71.6196512707643,689.827398111492,71.6196512707643,1312.37796854182,12104.7434119232,55.1976299583698,50
855,2,0.24200060984106,0.622740032389752,0.0135135135135135,0.0405405405405405,0.0497077123272642,0.439779307917258,120.203542392533,354.492480191356,120.203542392533,744.947043365604,13866.5920807645,59.8723170158444,50
857,43,0.166748463708353,0.731600775959218,0.0102040816326531,0.0306122448979592,0.510698182900683,0.125291009349146,1287.45601968194,105.285058507153,1287.45601968194,151.922259632897,17697.2290665699,59.4626896636747,50
858,32,0.259914893080774,0.60258225267882,0.0297029702970297,0.0198019801980198,0.0749248098703526,0.505188172071805,83.731036229245,846.847577154845,146.84698990534,1657.21927667114,13744.7691474674,52.7529070627923,50
859,41,0.160084012134053,0.709281801187726,0.04,0.05,0.263858900133477,0.138914534360761,176.114549000142,74.1756160012314,298.99528620248,151.211137418496,18087.1313664791,60.7727613913698,50
860,39,0.233457546840487,0.628210898496018,0.0365853658536585,0.0121951219512195,0.0638958227612979,0.543628956195813,55.7732190909804,1423.56427546348,66.612581947948,1423.56427546348,14585.7773316077,52.5087983937879,50
861,20,0.280429686055547,0.581819556606138,0.0,0.0273972602739726,0.0,0.469064303092756,0.0,640.987679716889,0.0,1078.07527418331,12638.0997189042,56.0126446266676,50
864,46,0.342613610099473,0.496689734400233,0.0166666666666667,0.0166666666666667,0.0208710343668602,0.636049209467726,64.5369320278932,1966.77672396498,64.5369320278932,1966.77672396498,11218.2888585179,48.4630078687974,50
865,50,0.246537212559706,0.621553508007843,0.0253164556962025,0.0379746835443038,0.102964561771796,0.444868952567709,129.777896807288,373.812478297512,173.604881736269,746.33564448093,13949.0063174479,60.2597072913748,50
866,6,0.259106640664047,0.54783323461921,0.0,0.0256410256410256,0.0,0.55982895729027,0.0,885.935694480812,0.0,1121.40095913267,12032.195922191,60.6193254923932,50
867,21,0.230199019575502,0.667387031435038,0.0303030303030303,0.0202020202020202,0.180588623229892,0.427138486222051,185.714384847796,658.893343845066,303.042793349071,1251.09715332321,14639.8409948694,56.2169894202984,50
869,36,0.129395246972143,0.713743973483667,0.0168067226890756,0.0168067226890756,0.568802681293372,0.0318998916779746,823.977354349035,46.2107321454087,1603.30951708304,48.2619834281918,18667.4221979728,62.7225385851886,50
870,42,0.208561232874613,0.647696375990001,0.0217391304347826,0.0326086956521739,0.100597790533112,0.328496686320793,131.996553995199,287.351775576781,152.830134046107,428.58441854063,14484.3423816035,64.3104801743196,50
871,44,0.305153158195151,0.522896527445511,0.0363636363636364,0.0363636363636364,0.101689892703627,0.574435016206649,116.24322265959,656.645176005711,180.276662424047,867.652593838264,11520.746710559,53.8642442531272,50
872,13,0.236647675756059,0.615164173508079,0.038961038961039,0.0649350649350649,0.211786134209879,0.441113157534032,180.290202930095,225.307613221176,403.190597478807,426.042187105594,14118.741256437,55.9102153754906,50
873,43,0.23368933260519,0.658306295577444,0.03,0.03,0.100497295048799,0.414396311532838,96.279801935037,397.00565848681,127.443951968512,884.201292920585,14871.9364072533,58.8928681727232,50
875,19,0.185022727123388,0.660814474246201,0.0103092783505155,0.0309278350515464,0.238433721906436,0.304559410984245,726.578023432868,309.360847508595,726.578023432868,603.843631687539,15368.4544209158,60.8590795068263,50
877,33,0.229770655725966,0.662680372582163,0.0208333333333333,0.03125,0.184924013684555,0.437412804419475,269.878748825644,425.57451220086,353.127847737538,1055.34766058735,14938.8613398205,50.1945741017969,50
878,45,0.250181111307938,0.502925755169294,0.0,0.0169491525423729,0.0,0.527780050102924,0.0,1253.28277373662,0.0,1253.28277373662,11976.3324332543,53.174916003649,50
879,44,0.266778977423481,0.502342567364342,0.0,0.0350877192982456,0.0,0.630540729813437,0.0,688.785770302116,0.0,1146.0290621236,11557.4177322184,60.9969632762254,50
880,49,0.252697719051234,0.651874128844436,0.0206185567010309,0.0206185567010309,0.167449444330607,0.525396040348313,256.981508380765,806.315407529312,438.007940970869,1572.62086828648,13984.1243222562,58.1963845937984,50
881,26,0.279029671570123,0.588337617447562,0.0256410256410256,0.0384615384615385,0.0908701901358667,0.539278289243466,133.833502034848,529.498925246389,217.708257271885,1199.86970682013,12947.5469862871,54.3796973424058,50
882,42,0.186391944015963,0.675679859338896,0.0303030303030303,0.0303030303030303,0.280704755171298,0.218508112150538,275.587337414876,214.524576879256,697.147088562294,568.159593493764,16474.182832036,61.2474800443847,50
